month,rv,log_rv,NPI,ANP,SNP,NPI2,log_rv_lag1,log_rv_lag2,log_rv_lag3,log_rv_lag4,log_rv_lag5,log_rv_lag6,log_rv_lag7,log_rv_lag8,log_rv_lag9,log_rv_lag10,log_rv_lag11,log_rv_lag12
2015-01-31,0.0011165685440204238,-6.797495096700643,0.0,-0.26634506577911754,-0.26634506577911754,0.0,-6.765107264247319,-7.5417126411481465,-6.560758732336436,-7.751859314076398,-7.263849050996916,-7.614960333433381,-7.186581500748007,-7.283341498590774,-7.971581192044533,-6.850050631686544,-6.890162825093612,-6.566060149952845
2015-02-28,0.00030801307291056663,-8.085368331376616,0.0,0.0,0.0,0.0,-6.797495096700643,-6.765107264247319,-7.5417126411481465,-6.560758732336436,-7.751859314076398,-7.263849050996916,-7.614960333433381,-7.186581500748007,-7.283341498590774,-7.971581192044533,-6.850050631686544,-6.890162825093612
2015-03-31,0.0009321604945266394,-6.9780055536764385,0.0,0.0,0.0,0.0,-8.085368331376616,-6.797495096700643,-6.765107264247319,-7.5417126411481465,-6.560758732336436,-7.751859314076398,-7.263849050996916,-7.614960333433381,-7.186581500748007,-7.283341498590774,-7.971581192044533,-6.850050631686544
2015-04-30,0.0008135422086995458,-7.114112747341349,0.0,0.0,0.0,0.0,-6.9780055536764385,-8.085368331376616,-6.797495096700643,-6.765107264247319,-7.5417126411481465,-6.560758732336436,-7.751859314076398,-7.263849050996916,-7.614960333433381,-7.186581500748007,-7.283341498590774,-7.971581192044533
2015-05-31,0.0009516568207155709,-6.95730607060395,0.0,0.0,0.0,0.0,-7.114112747341349,-6.9780055536764385,-8.085368331376616,-6.797495096700643,-6.765107264247319,-7.5417126411481465,-6.560758732336436,-7.751859314076398,-7.263849050996916,-7.614960333433381,-7.186581500748007,-7.283341498590774
2015-06-30,0.0008283205028404904,-7.096110397750202,0.0,0.0,0.0,0.0,-6.95730607060395,-7.114112747341349,-6.9780055536764385,-8.085368331376616,-6.797495096700643,-6.765107264247319,-7.5417126411481465,-6.560758732336436,-7.751859314076398,-7.263849050996916,-7.614960333433381,-7.186581500748007
2015-07-31,0.0016307439679039554,-6.41871894626535,0.0,0.0,0.0,0.0,-7.096110397750202,-6.95730607060395,-7.114112747341349,-6.9780055536764385,-8.085368331376616,-6.797495096700643,-6.765107264247319,-7.5417126411481465,-6.560758732336436,-7.751859314076398,-7.263849050996916,-7.614960333433381
2015-08-31,0.002803189708779065,-5.876997328469286,0.0,-0.0264031587972989,-0.0264031587972989,0.0,-6.41871894626535,-7.096110397750202,-6.95730607060395,-7.114112747341349,-6.9780055536764385,-8.085368331376616,-6.797495096700643,-6.765107264247319,-7.5417126411481465,-6.560758732336436,-7.751859314076398,-7.263849050996916
2015-09-30,0.002923939414316887,-5.834823457447134,0.0,0.0,0.0,0.0,-5.876997328469286,-6.41871894626535,-7.096110397750202,-6.95730607060395,-7.114112747341349,-6.9780055536764385,-8.085368331376616,-6.797495096700643,-6.765107264247319,-7.5417126411481465,-6.560758732336436,-7.751859314076398
2015-10-31,0.0006539587467906056,-7.332466286798422,0.0,0.0,0.0,0.0,-5.834823457447134,-5.876997328469286,-6.41871894626535,-7.096110397750202,-6.95730607060395,-7.114112747341349,-6.9780055536764385,-8.085368331376616,-6.797495096700643,-6.765107264247319,-7.5417126411481465,-6.560758732336436
